TOPK,test nodes,node coverage,fault coverage,avg_runtime(s),,
20,4,71,44.5,2.3,,
40,8,68,41.75,4.5,,
60,12,72.67,47,7,,
80,16,68.75,43.5,9.2,,
100,20,69.2,44.6,11.5,,
120,24,69,44.25,13.8,,
140,28,69.43,45.21,20.9,,
160,32,66,43.81,23.9,,
180,36,65.67,42.5,22.4,,
200,40,67.3,43.1,26.8,,
220,44,68,44.55,29.6,,
240,48,68.92,46.04,32.2,,
260,52,66.38,42.96,34.9,,
280,56,68.64,44.64,37.6,,
300,60,68.6,45,38.5,,
320,64,66.5,43.41,42.6,,
340,68,68.94,44.62,45.2,,
360,72,68.5,44.86,47.7,,
380,76,68.26,45.26,50.2,,
400,80,67.9,44.25,51.6,,
420,84,68.1,44.6,52.5,,
440,88,67.95,44.41,55.1,,
460,92,66.57,43.2,57.7,,
480,96,67.96,44.65,60.4,,
500,100,66.72,43.6,63.1,,
520,104,68.23,45.1,66.1,,
540,108,68.37,45.11,68.7,,
560,112,68.07,44.5,71.4,,
580,116,67.34,44.28,74.5,,
600,120,67.3,44.37,77.3,,
620,124,64.11,40.73,70.4,,
640,128,66.41,41.99,76.1,,
660,132,69.32,44.89,84,,
680,136,66.18,43.01,87.2,,
700,140,67.5,45.36,89.3,,
720,144,62.85,40.62,91.8,,
740,148,65.2,41.39,96.5,,
760,152,64.47,42.76,98.1,,
780,156,67.63,42.79,100.6,,
800,160,66.56,44.84,102.4,,
820,164,63.11,40.4,104.4,,
840,168,66.67,42.41,108.2,,
860,172,68.31,45.49,110.8,,
880,176,73.01,46.73,113.6,,
900,180,68.33,45.42,115.3,,
920,184,69.57,44.57,118.3,,
940,188,67.82,45.88,120.6,,
960,192,68.49,45.31,123,,
980,196,70.92,46.94,125.8,,
1000,200,67,44.62,128.2,,
1020,204,70.34,45.1,129.7,,
1040,208,66.83,44.47,133.6,,
1060,212,73.35,48.11,136.8,,
1080,216,66.44,44.79,139,,
1100,220,66.59,42.5,142,,
1120,224,72.77,47.54,143.4,,
1140,228,68.64,44.85,146.9,,
1160,232,66.59,44.18,149.2,,
1180,236,62.92,41.42,150.8,,
1200,240,70,46.98,154.9,,
1220,244,67.21,42.11,147.6,,
1240,248,65.52,42.64,150.4,,
1260,252,65.87,42.86,143.7,,
1280,256,67.38,44.82,167.2,,
1300,260,70.38,45.58,168.6,,
1320,264,67.23,44.6,170.3,,
1340,268,68.1,44.96,176.8,,
1360,272,68.93,45.59,178.7,,
1380,276,69.02,45.29,176.7,,
1400,280,65.71,43.39,181.9,,
1420,284,66.9,44.19,184,,
1440,288,65.62,43.32,186.2,,
1460,292,65.75,42.04,189,,
1480,296,69.76,46.62,192.5,,
1500,300,68.17,44.83,194.5,,
1520,304,67.11,44.33,196.9,,
1540,308,67.37,44.56,221.8,,
1560,312,67.95,45.91,207.9,,
1580,316,68.51,43.91,189,,
1600,320,68.12,43.12,181.1,,
1620,324,66.36,43.75,209.1,,
1640,328,67.38,42.99,247.1,,
1660,332,68.37,44.88,215.6,,
1680,336,69.35,45.09,218.2,,
1700,340,71.03,46.32,222.1,,
1720,344,68.02,45.71,222.9,,
1740,348,70.69,46.34,226.6,,
1760,352,69.6,46.8,229.1,,
1780,356,67.84,44.66,233.6,,
1800,360,66.67,43.19,234.5,,
1820,364,67.99,43.82,237.1,,
1840,368,66.85,43.55,238.7,,
1860,372,70.83,46.44,242,,
1880,376,66.36,43.02,245,,
1900,380,69.34,44.61,248.3,,
1920,384,67.32,45.57,250.5,,
1940,388,70.49,45.81,256.1,,
1960,392,68.24,45.66,275.3,,
1980,396,66.04,42.93,260,,
2000,400,68.25,44.44,260.7,,
