Percentile,Sensitive_Node_Coverage_RMSE,Sensitive_Node_Accuracy,Sensitive_Fault_Coverage_RMSE,Sensitive_Fault_Accuracy,Statistical_Node_Coverage_RMSE,Statistical_Node_Accuracy,Statistical_Fault_Coverage_RMSE,Statistical_Fault_Accuracy
10%,0.0,100.0,15.46993374258597,87.029,0.0,100.0,15.318784220688011,85.543
20%,4.673455894731434,95.763,26.582221690445667,73.657,0.0,100.0,17.629674415598267,82.4
30%,7.258407538847624,92.94,33.460333979205885,66.58500000000001,0.0,100.0,19.971348977973424,80.038
40%,9.194117140867847,91.009,36.40840823216527,63.623000000000005,0.0,100.0,21.63125169748621,78.399
50%,12.844255525331157,87.238,39.24718703295817,60.769000000000005,0.0,100.0,24.44931778189322,75.55799999999999
60%,15.089371093587697,84.984,40.057465970777535,59.955999999999996,0.0,100.0,26.417786621895488,73.591
70%,16.18817160768936,83.83599999999998,41.2930421499797,58.727,0.0,100.0,27.99009985691369,72.011
80%,16.182238720276008,83.85900000000001,41.47728125130672,58.56600000000001,0.0,100.0,29.291217967165515,70.71300000000001
90%,15.967089277636045,84.03800000000001,41.52592142264877,58.479,0.0,100.0,30.269717375621465,69.731
100%,17.291062142043213,82.825,42.50094610711625,57.532000000000004,0.0,100.0,30.017984775797327,69.98500000000001
