circuit_name,nodes,gnn_time_v1,injection_time,v1_node_cov_10pct,v1_node_cov_20pct,v1_node_cov_final,v1_fault_cov_10pct,v1_fault_cov_20pct,v1_fault_cov_final,v1_gap_10_final,v1_gap_20_final
adder,2296,2.7910,0.01,100.00,99.44,99.78,100.00,99.44,78.31,+21.69,+21.13
arbiter,23934,30.6059,0.08,72.16,70.54,55.19,70.32,69.28,53.84,+16.48,+15.44
bar,6807,4.3374,0.03,100.00,100.00,100.00,99.84,91.03,77.76,+22.08,+13.27
cavlc,1396,1.5724,0.01,72.06,62.50,31.67,37.50,32.35,16.06,+21.44,+16.29
ctrl,357,1.4137,0.00,93.75,93.75,80.86,53.12,50.00,49.38,+3.74,+0.62
dec,616,1.4493,0.00,100.00,100.00,100.00,75.00,88.89,79.17,-4.17,+9.72
div,114622,170.1636,0.45,34.81,40.25,34.73,25.11,27.83,22.69,+2.42,+5.14
hyp,428926,3647.6857,1.97,54.30,49.74,48.79,37.48,30.77,28.10,+9.38,+2.67
i2c,2861,1.8980,0.04,97.78,88.93,60.57,59.26,54.80,33.49,+25.77,+21.31
int2float,531,1.4413,0.00,88.00,66.00,36.36,46.00,35.00,19.57,+26.43,+15.43
log2,64152,79.3545,0.22,24.52,22.51,11.51,12.34,11.30,5.78,+6.56,+5.52
max,6242,4.7817,0.03,100.00,96.34,78.61,50.37,48.54,40.35,+10.02,+8.19
mem_ctrl,95424,94.2068,0.33,57.42,40.47,21.00,39.89,26.10,12.56,+27.33,+13.54
multiplier,54252,48.1477,0.20,58.74,54.92,50.95,35.22,32.38,28.60,+6.62,+3.78
priority,2084,1.8470,0.01,89.69,89.69,81.57,67.01,65.21,55.92,+11.09,+9.29
router,628,1.4504,0.00,28.00,26.00,13.39,14.00,13.00,7.68,+6.32,+5.32
sin,10856,10.0987,0.04,86.83,88.13,87.07,78.57,78.80,67.10,+11.47,+11.70
sqrt,49364,192.7438,0.17,99.84,99.76,60.96,60.37,62.04,36.37,+24.00,+25.67
square,37036,79.1113,0.12,55.26,53.47,48.82,50.25,47.43,37.58,+12.67,+9.85
voter,28517,47.1975,0.10,60.87,56.63,37.85,30.44,28.32,18.93,+11.51,+9.39
